County GEOID,County/City,Population,Neighbor Names,Neighbor GEOIDs,District
51173,Smyth County,29216,"['Bland County', 'Grayson County', 'Russell County', 'Tazewell County', 'Washington County', 'Wythe County']","[51021, 51077, 51167, 51185, 51191, 51197]",4
51175,Southampton County,17975,"['Greensville County', 'Isle of Wight County', 'Surry County', 'Sussex County', 'Franklin city', 'Suffolk city']","[51081, 51093, 51181, 51183, 51620, 51800]",4
51177,Spotsylvania County,149588,"['Caroline County', 'Culpeper County', 'Hanover County', 'Louisa County', 'Orange County', 'Stafford County', 'Fredericksburg city']","[51033, 51047, 51085, 51109, 51137, 51179, 51630]",11
51179,Stafford County,165428,"['Caroline County', 'Culpeper County', 'Fauquier County', 'King George County', 'Prince William County', 'Spotsylvania County', 'Fredericksburg city']","[51033, 51047, 51061, 51099, 51153, 51177, 51630]",5
51181,Surry County,6593,"['Charles City County', 'Isle of Wight County', 'James City County', 'Prince George County', 'Southampton County', 'Sussex County', 'Newport News city']","[51036, 51093, 51095, 51149, 51175, 51183, 51700]",8
51183,Sussex County,10757,"['Dinwiddie County', 'Greensville County', 'Prince George County', 'Southampton County', 'Surry County']","[51053, 51081, 51149, 51175, 51181]",10
51185,Tazewell County,39120,"['Bland County', 'Buchanan County', 'Russell County', 'Smyth County']","[51021, 51027, 51167, 51173]",8
51187,Warren County,41843,"['Clarke County', 'Fauquier County', 'Frederick County', 'Page County', 'Rappahannock County', 'Shenandoah County']","[51043, 51061, 51069, 51139, 51157, 51171]",1
51191,Washington County,54050,"['Grayson County', 'Russell County', 'Scott County', 'Smyth County', 'Bristol city']","[51077, 51167, 51169, 51173, 51520]",7
51193,Westmoreland County,19013,"['Essex County', 'King George County', 'Northumberland County', 'Richmond County']","[51057, 51099, 51133, 51159]",8
51195,Wise County,35174,"['Dickenson County', 'Lee County', 'Russell County', 'Scott County', 'Norton city']","[51051, 51105, 51167, 51169, 51720]",10
51197,Wythe County,28104,"['Bland County', 'Carroll County', 'Grayson County', 'Pulaski County', 'Smyth County']","[51021, 51035, 51077, 51155, 51173]",6
51199,York County,70952,"['Gloucester County', 'James City County', 'Mathews County', 'Northampton County', 'Hampton city', 'Newport News city', 'Poquoson city', 'Williamsburg city']","[51073, 51095, 51115, 51131, 51650, 51700, 51735, 51830]",7
51510,Alexandria City,155230,"['Arlington County', 'Fairfax County']","[51013, 51059]",2
51520,Bristol City,16807,['Washington County'],[51191],8
51530,Buena Vista City,6566,['Rockbridge County'],[51163],10
51540,Charlottesville City,44983,['Albemarle County'],[51003],9
51550,Chesapeake City,253886,"['Norfolk city', 'Portsmouth city', 'Suffolk city', 'Virginia Beach city']","[51710, 51740, 51800, 51810]",11
51570,Colonial Heights City,18393,"['Chesterfield County', 'Petersburg city']","[51041, 51730]",5
51580,Covington City,5545,['Alleghany County'],[51005],11
51590,Danville City,41837,['Pittsylvania County'],[51143],7
51595,Emporia City,5463,['Greensville County'],[51081],3
51600,Fairfax City,25144,['Fairfax County'],[51059],8
51610,Falls Church City,14685,"['Arlington County', 'Fairfax County']","[51013, 51059]",6
51620,Franklin City,8339,"['Isle of Wight County', 'Southampton County']","[51093, 51175]",1
51630,Fredericksburg City,28928,"['Spotsylvania County', 'Stafford County']","[51177, 51179]",9
51640,Galax City,6717,"['Carroll County', 'Grayson County']","[51035, 51077]",2
51650,Hampton City,137098,"['Northampton County', 'York County', 'Newport News city', 'Norfolk city', 'Poquoson city', 'Portsmouth city', 'Virginia Beach city']","[51131, 51199, 51700, 51710, 51735, 51740, 51810]",11
51660,Harrisonburg City,51082,['Rockingham County'],[51165],3
51670,Hopewell City,22752,"['Chesterfield County', 'Prince George County']","[51041, 51149]",3
51678,Lexington City,7528,['Rockbridge County'],[51163],10
51680,Lynchburg City,79535,"['Amherst County', 'Bedford County', 'Campbell County']","[51009, 51019, 51031]",5
51683,Manassas City,42696,"['Prince William County', 'Manassas Park city']","[51153, 51685]",10
51685,Manassas Park City,16361,"['Prince William County', 'Manassas city']","[51153, 51683]",4
51690,Martinsville City,13763,['Henry County'],[51089],10
51700,Newport News City,183118,"['Isle of Wight County', 'James City County', 'Surry County', 'York County', 'Hampton city', 'Portsmouth city', 'Suffolk city']","[51093, 51095, 51181, 51199, 51650, 51740, 51800]",2
51710,Norfolk City,230930,"['Northampton County', 'Chesapeake city', 'Hampton city', 'Portsmouth city', 'Virginia Beach city']","[51131, 51550, 51650, 51740, 51810]",1
51720,Norton City,3492,['Wise County'],[51195],3
51730,Petersburg City,33309,"['Chesterfield County', 'Dinwiddie County', 'Prince George County', 'Colonial Heights city']","[51041, 51053, 51149, 51570]",4
51735,Poquoson City,12635,"['Northampton County', 'York County', 'Hampton city']","[51131, 51199, 51650]",1
51740,Portsmouth City,96793,"['Chesapeake city', 'Hampton city', 'Newport News city', 'Norfolk city', 'Suffolk city']","[51550, 51650, 51700, 51710, 51800]",6
51750,Radford City,16971,"['Montgomery County', 'Pulaski County']","[51121, 51155]",3
51760,Richmond City,229247,"['Chesterfield County', 'Henrico County']","[51041, 51087]",8
51770,Roanoke City,97171,"['Roanoke County', 'Salem city']","[51161, 51775]",7
51775,Salem City,25600,"['Roanoke County', 'Roanoke city']","[51161, 51770]",6
51790,Staunton City,25915,['Augusta County'],[51015],2
51800,Suffolk City,100659,"['Isle of Wight County', 'Southampton County', 'Chesapeake city', 'Newport News city', 'Portsmouth city']","[51093, 51175, 51550, 51700, 51740]",6
51810,Virginia Beach City,453649,"['Northampton County', 'Chesapeake city', 'Hampton city', 'Norfolk city']","[51131, 51550, 51650, 51710]",9
51820,Waynesboro City,23182,['Augusta County'],[51015],11
51830,Williamsburg City,15847,"['James City County', 'York County']","[51095, 51199]",11
51840,Winchester City,27617,['Frederick County'],[51069],11
